Código,Nome,Unidade,Quantidade,Total custo,Total venda,Valor lucro,%Lucro
004073,VESIDO BABADO COM TULE,UN,1,"0,00","165,99","165,99","100,00%"
4079,CALÇA CANELADA,UN,5,"261,35","583,91","322,56","55,24%"
4080,REGATA RIBANA STYLE,UN,4,"48,00","127,60","79,60","62,38%"
4083,BLUSA AZUL MALHA GUIPPIR PLUS,UN,1,"42,00","90,09","48,09","53,37%"
4087,CALÇA MONTARIA,UN,1,"47,92","99,90","51,98","52,03%"
4088,CIGANINHA CANELADA AMARRAR,UN,1,"27,37","56,90","29,53","51,89%"
4094,KIMONO PRETO,UN,2,"66,50","153,40","86,90","56,64%"
04098,BLUSA GATO BORDO PLUS,UN,1,"48,00","67,50","19,50","28,88%"
4103,BLUSA OMBRO VAZADO,UN,1,"19,92","49,90","29,98","60,08%"
004103,VESTIDO DE POLIAMIDA,UN,1,"0,00","39,91","39,91","100,00%"
04104,BLUSA ESTAMPA RELAX,UN,1,"45,45","89,90","44,45","49,44%"
4104,REGATA TRANSPASSADA,UN,1,"26,32","59,90","33,58","56,06%"
4105,REGATA COM ALÇA DE CHOCHE,UN,3,"71,76","185,80","114,04","61,37%"
4108,REGATA CANELADA,UN,3,"78,96","140,40","61,44","43,76%"
4112,VESTE LEGGING,UN,1,"28,72","69,00","40,28","58,37%"
04113,BLUSA BRANCA BEAUTIFUL,UN,1,"59,90","128,70","68,80","53,45%"
4121,BLUSA COM AMARRAS NA MANGA,UN,1,"39,92","95,00","55,08","57,97%"
04122,BLUSA MANGUINHA,UN,1,"64,90","130,00","65,10","50,07%"
4124,SHORT JEANS,UN,5,"409,50","680,39","270,89","39,81%"
4126,SAIA LINHO,UN,7,"460,34","820,41","360,07","43,88%"
4127,SHORT JEANS,UN,2,"154,40","318,00","163,60","51,44%"
4128,SHORT TOP SUL,UN,1,"83,90","169,50","85,60","50,50%"
4129,SHORT TOP SUL,UN,7,"510,30","1.081,57","571,27","52,81%"
4132,SHORTO TOP SUL,UN,1,"76,60","164,70","88,10","53,49%"
4134,MACAQUINHO FIVELA,UN,5,"287,52","690,42","402,90","58,35%"
4135,BLUSA BORBOLETA,UN,1,"59,90","128,70","68,80","53,45%"
4136,SHORT JEANS,UN,3,"175,50","414,00","238,50","57,60%"
4137,BLUSA ONÇA,UN,5,"330,70","615,69","284,99","46,28%"
4138,SHORT,UN,2,"121,20","283,01","161,81","57,17%"
4141,BLUSA MANGA PRINCESA,UN,1,"39,92","84,00","44,08","52,47%"
4142,SHOTS COLORIDOS,UN,3,"148,50","296,50","148,00","49,91%"
04148,BLUSA ESTAMPA CHOCOLAT,UN,1,"38,45","79,90","41,45","51,87%"
4152,BLUSA DECOTE CANOA,UN,1,"39,12","87,00","47,88","55,03%"
4153,REGATA ESTAMPADA,UN,2,"71,84","132,00","60,16","45,57%"
4154,BLUSA OMBRO VAZADO,UN,1,"39,12","84,00","44,88","53,42%"
4160,JAQUETA BICOLOR,UN,1,"58,42","119,90","61,48","51,27%"
4164,CALÇA SKALA GATA,UN,2,"165,80","336,00","170,20","50,65%"
04176,BLUSA,UN,1,"25,90","55,90","30,00","53,66%"
04192,BLUSA,UN,1,"39,90","87,00","47,10","54,13%"
04194,BLUSA COM MANGA,UN,1,"69,90","141,98","72,08","50,76%"
04195,BLUSA EST BACK STAGE,UN,1,"59,90","128,70","68,80","53,45%"
4196,BLUSA DECOTE V CANELADA,UN,1,"31,92","85,00","53,08","62,44%"
04197,BLUSA,UN,1,"26,90","57,90","31,00","53,54%"
4200,VESTIDO ESTAMPADO,UN,1,"38,32","84,00","45,68","54,38%"
4204,SHORT,UN,4,"211,60","499,00","287,40","57,59%"
04207,BLUSA MANGA,UN,1,"59,90","122,26","62,36","51,00%"
4207,SHORT JEANS,UN,3,"181,50","400,20","218,70","54,64%"
04211,"BLUSA TIE DYE EST, YOU",UN,1,"64,90","139,80","74,90","53,57%"
04213,BLUSA,UN,1,"29,90","64,90","35,00","53,92%"
4219,T-SHIRT CANELADA,UN,2,"46,24","97,30","51,06","52,47%"
4220,BLUSA COM AMARRAS,UN,1,"28,56","61,90","33,34","53,86%"
4223,BLUSA CIGANINHA,UN,1,"22,32","48,00","25,68","53,50%"
04225,BABY LOOK PRETA PUNHO,UN,2,"89,95","169,90","79,95","47,05%"
4230,REGATA CANELADA,UN,2,"43,04","93,80","50,76","54,11%"
04231,BLUSA TIE DYE,UN,2,"80,80","174,80","94,00","53,77%"
04233,BLUSA,UN,1,"25,90","55,90","30,00","53,66%"
4233,BLUSA ESTILO CIGANINHA,UN,3,"90,64","195,79","105,15","53,70%"
4234,BODY COM MANGA,UN,1,"20,18","47,40","27,22","57,42%"
04242,BLUSA,UN,1,"49,90","107,40","57,50","53,53%"
04251,BLUSA,UN,1,"37,05","79,90","42,85","53,62%"
4252,BLUSA ALCINHA ESTAMPADA,UN,2,"44,64","94,90","50,26","52,96%"
4254,T-SHIRT COM MANGA DE TULE,UN,2,"61,80","143,46","81,66","56,92%"
4257,THE SHIT DECOTE,UN,1,"27,68","69,90","42,22","60,40%"
4258,BLUSA ALÇA LARGA,UN,12,"312,18","684,98","372,80","54,42%"
4259,T-SHIRT,UN,13,"342,54","780,80","438,26","56,12%"
4260,VESTIDO TRANSPASSADO,UN,1,"47,92","98,10","50,18","51,15%"
4262,BLUSA COM AMARAS NA MANGA,UN,1,"35,12","75,90","40,78","53,72%"
04265,BLUSA ESTAMPA DA BOLS UNICA,UN,1,"69,90","149,85","79,95","53,35%"
04280,BLUSA,UN,1,"59,90","138,40","78,50","56,71%"
4280,T-SHIRT DECOTE V,UN,1,"29,18","79,90","50,72","63,47%"
04283,BLUSA ESTAMP DRAMATIC,UN,1,"54,90","82,35","27,45","33,33%"
4289,T-SHIRT,UN,7,"208,14","484,60","276,46","57,04%"
4290,ANEL FABIANO AMORIM,UN,5,"100,00","214,50","114,50","53,37%"
04291,MORENA LINDA M,UN,2,"99,80","210,40","110,60","52,56%"
4295,BLUSA BATA,UN,2,"59,86","149,80","89,94","60,04%"
4302,SHORT JEANS,UN,3,"173,10","372,60","199,50","53,54%"
04318,BLUSA ESTAMPA,UN,1,"41,95","80,00","38,05","47,56%"
4319,BLUSA OMBRO A OMBRO,UN,1,"23,92","40,50","16,58","40,93%"
4322,BLUSA DE TECIDO,UN,1,"35,12","71,40","36,28","50,81%"
04333,BLUSA DECOTE V,UN,1,"64,90","69,75","4,85","6,95%"
4334,CASACO,UN,3,"239,70","479,70","240,00","50,03%"
4363,REGATA DECOTE V,UN,3,"111,36","204,80","93,44","45,62%"
04363,BLUSA MANGA DE BRILHO,UN,1,"69,90","149,85","79,95","53,35%"
04364,BLUSA LISTRADA,UN,1,"38,43","77,90","39,47","50,66%"
4370,CALÇA LINHO,UN,1,"82,42","167,70","85,28","50,85%"
04372,BLUSA LISTRADA ESTAMP,UN,1,"64,90","97,65","32,75","33,53%"
4372,CIGANINHA,UN,1,"30,68","59,90","29,22","48,78%"
4374,REGATA BASICA,UN,1,"20,55","49,90","29,35","58,81%"
4381,BLUSA TRICO COM CAPUZ,UN,1,"48,67","99,90","51,23","51,28%"
4385,BLUSA PEROLAS,UN,1,"48,67","99,90","51,23","51,28%"
4388,BLUSAO CAPUZ TED,UN,1,"59,92","119,90","59,98","50,02%"
4390,CONJUNTO TRIO FABIANO,UN,4,"80,00","175,60","95,60","54,44%"
4391,BASICA GOLA ALTA PLUS,UN,1,"27,68","59,90","32,22","53,78%"
4398,SHORT ETNICO,UN,1,"25,00","71,25","46,25","64,91%"
4406,BLUSA SUEDE ILHÓS,UN,3,"125,79","259,70","133,91","51,56%"
4417,BLUSAO BUCLE,UN,1,"40,43","85,40","44,97","52,65%"
4418,MOLETOM,UN,4,"161,72","333,89","172,17","51,56%"
4424,BLUSA BORDO ABERTA OMBRO PLUS,UN,1,"29,90","74,00","44,10","59,59%"
4425,CALÇA MONTARIA,UN,1,"41,93","99,90","57,97","58,02%"
004432,BERMUDA,UN,1,"64,90","119,90","55,00","45,87%"
4434,VESTIDO COM BABADOS E RENDA,UN,1,"0,00","39,89","39,89","100,00%"
4445,CARDIGAN LISTRADO,UN,16,"553,31","1.235,50","682,19","55,21%"
4446,T-SHIRT MANGA LONGA,UN,1,"36,38","74,90","38,52","51,42%"
4449,CASACO PARKA,UN,4,"311,68","643,60","331,92","51,57%"
4450,BLUSA CANELADA BUFANTE,UN,1,"0,00","62,60","62,60","100,00%"
4457,CALÇA JOGGER,UN,2,"89,86","170,76","80,90","47,37%"
4458,CALÇA CIRRIE,UN,2,"142,34","280,00","137,66","49,16%"
4472,CALÇA SOCIAL,UN,1,"0,00","141,34","141,34","100,00%"
4473,BLUSA ESTAMPADA,UN,1,"38,93","89,90","50,97","56,69%"
4476,CALÇA CIRRIE,UN,1,"85,42","170,80","85,38","49,98%"
4486,LEGGING PELUCIADA,UN,4,"148,48","314,70","166,22","52,81%"
4488,CASACO PARKA MOLETOM,UN,5,"460,85","921,75","460,90","50,00%"
4496,BLUSA TERMICA,UN,3,"76,29","179,70","103,41","57,54%"
4499,BLUSA,UN,2,"89,90","185,30","95,40","51,48%"
004499,SAIA TULE E CORINO,UN,1,"0,00","115,00","115,00","100,00%"
4503,BLUSA MANGA COPINHO,UN,1,"31,43","61,66","30,23","49,02%"
04510,BLUSA,UN,1,"25,90","59,00","33,10","56,10%"
4516,VESTIDO MID,UN,1,"74,85","140,00","65,15","46,53%"
04517,BLUSA,UN,1,"25,90","75,00","49,10","65,46%"
4523,CROPPEED OMBRO A OMBRO,UN,1,"26,93","53,85","26,92","49,99%"
04527,PEÇA,UN,1,"25,90","56,90","31,00","54,48%"
04529,BLUSA,UN,1,"29,90","64,55","34,65","53,67%"
4530,SAIA TRES MARIAS,UN,2,"107,84","194,15","86,31","44,45%"
04540,BLUSA,UN,1,"43,90","89,00","45,10","50,67%"
04553,BLUSA,UN,1,"35,90","71,00","35,10","49,43%"
04556,BLUSA,UN,1,"35,90","75,00","39,10","52,13%"
4565,BLUSA DECOTE PRINCESA,UN,8,"208,16","471,29","263,13","55,83%"
4571,BLUSA DECOTE V,UN,5,"145,90","295,60","149,70","50,64%"
4574,BLUSA ALÇA,UN,2,"56,86","113,80","56,94","50,03%"
4582,VESTIDO 2 MARIAS,UN,1,"55,74","112,99","57,25","50,66%"
4591,REGATA,UN,1,"28,43","59,90","31,47","52,53%"
4595,BLUSA DECOTE V,UN,2,"68,86","139,80","70,94","50,74%"
4596,T-SHIRT DECOTE V,UN,5,"175,90","349,50","173,60","49,67%"
4597,T-SHIRT COM BOLSO,UN,2,"69,60","139,75","70,15","50,19%"
004597,CAMISA CHIFFON,UN,1,"0,00","105,00","105,00","100,00%"
4605,CIGANINHA,UN,2,"70,36","131,42","61,06","46,46%"
4606,VESTIDO ALCINHA,UN,2,"97,34","184,60","87,26","47,26%"
004608,CAMISA CETIM E,UN,2,"0,00","208,50","208,50","100,00%"
4611,PANTACOURT,UN,1,"47,18","99,90","52,72","52,77%"
4613,BLUSA REGATA,UN,4,"119,72","239,60","119,88","50,03%"
4614,BLUSA COM BOJO,UN,6,"211,08","407,52","196,44","48,20%"
04625,MORENA LINDA M,UN,1,"65,90","142,20","76,30","53,65%"
4633,SHORT ESTAMPADO,UN,1,"50,17","93,88","43,71","46,55%"
4637,VESTIDO LONGO,UN,1,"116,17","232,50","116,33","50,03%"
4645,SHORT,UN,1,"36,68","99,90","63,22","63,28%"
4653,T-SHIRT,UN,2,"80,86","159,80","78,94","49,39%"
4659,BLUSA REGATA,UN,2,"73,36","144,30","70,94","49,16%"
4675,SHORT CONFORT,UN,5,"223,84","434,32","210,48","48,46%"
4693,VESTIDO CIGANINHA PRETO,UN,1,"59,00","123,90","64,90","52,38%"
4696,CALÇA TOP SUL,UN,5,"307,50","695,19","387,69","55,76%"
4697,CALÇA TOP SIL,UN,3,"211,50","449,48","237,98","52,94%"
4700,BLAZER JAQCARD,UN,1,"79,12","159,90","80,78","50,51%"
4707,CASACO XADREZ,UN,1,"149,95","299,80","149,85","49,98%"
4710,CASACO BOUDE,UN,2,"160,36","319,80","159,44","49,85%"
4719,BLUSA,UN,1,"38,00","114,00","76,00","66,66%"
4731,BLUSA,UN,1,"17,90","39,90","22,00","55,13%"
4746,CARDIGAN ALONGADO,UN,1,"55,92","99,90","43,98","44,02%"
04746,BLUSA,UN,1,"69,90","149,95","80,05","53,38%"
4747,BLUSA BASICA,UN,6,"5.344,18","355,71","-4988,47","-1402,40%"
4749,BLUSA MALHA,UN,1,"47,12","94,90","47,78","50,34%"
4752,BLUSA ALONGADA MALHA,UN,1,"68,72","159,90","91,18","57,02%"
4759,BLUSA CROPPED,UN,1,"33,67","89,90","56,23","62,54%"
04760,BLUSA MORENA LINDA,UN,1,"29,90","64,00","34,10","53,28%"
04762,MORENA LINDA V,UN,2,"119,80","265,98","146,18","54,95%"
04767,MORENA LINDA CROPPED,UN,3,"89,70","186,72","97,02","51,96%"
04768,MORENA LINDA SHORT,UN,3,"119,70","236,08","116,38","49,29%"
4786,BLAZER,UN,1,"74,93","159,90","84,97","53,13%"
4790,ANEL,UN,2,"44,00","95,80","51,80","54,07%"
4793,BLUSA LONGA,UN,1,"86,18","159,90","73,72","46,10%"
04793,BLUSA,UN,1,"35,90","77,90","42,00","53,91%"
04794,BLUSA,UN,1,"49,90","100,00","50,10","50,10%"
4797,BLUSA MALHA LONGA,UN,3,"148,29","219,70","71,41","32,50%"
004799,SAIA PAETE QUADRADO,UN,2,"0,00","360,00","360,00","100,00%"
4807,BLUSA MALHA AMARRAÇÃO,UN,7,"236,74","476,88","240,14","50,35%"
4808,REGATA,UN,2,"59,83","120,90","61,07","50,51%"
04810,MORENA LINDA,UN,1,"59,90","119,69","59,79","49,95%"
4822,TOP CROPPED,UN,2,"51,04","110,22","59,18","53,69%"
4825,SHORT LISTRA,UN,1,"59,00","129,90","70,90","54,58%"
4826,VESTIDO,UN,5,"223,70","464,64","240,94","51,85%"
4827,CALÇA WIDE,UN,1,"57,97","110,00","52,03","47,30%"
04832,BLUSA,UN,1,"33,90","69,89","35,99","51,49%"
4848,BLUSA DETALHE ILHOS,UN,1,"44,24","89,90","45,66","50,78%"
4861,BLUSA APLICAÇÃO,UN,1,"41,84","99,90","58,06","58,11%"
4862,T-SHIRT APLICAÇÃO,UN,3,"131,69","274,70","143,01","52,06%"
4864,BLUSA MALHA LISTRAS,UN,1,"58,44","99,90","41,46","41,50%"
4873,VESTIDO MALHA,UN,1,"55,12","100,00","44,88","44,88%"
4881,BLUSA,UN,1,"54,32","99,90","45,58","45,62%"
004899,SAIA PAETE,UN,1,"0,00","117,02","117,02","100,00%"
04900,BLUSA,UN,1,"24,90","52,00","27,10","52,11%"
04903,BLUSA,UN,1,"29,90","61,66","31,76","51,50%"
4909,BLUSA ELASTEX,UN,1,"59,41","129,00","69,59","53,94%"
4910,REGATA,UN,1,"49,90","94,90","45,00","47,41%"
4911,VESTIDO,UN,1,"71,36","149,00","77,64","52,10%"
4923,CARDIGÃ,UN,1,"42,90","93,90","51,00","54,31%"
04923,KIMONO,UN,1,"42,90","93,90","51,00","54,31%"
4925,REGATA,UN,1,"45,82","99,90","54,08","54,13%"
4950,REGATA,UN,1,"31,74","69,90","38,16","54,59%"
4967,SHORT SOCIAL ESTAMP. COM CINTO,UN,2,"90,00","202,50","112,50","55,55%"
04968,BLUSA,UN,1,"35,90","75,90","40,00","52,70%"
4968,BLUSA,UN,1,"17,90","59,90","42,00","70,11%"
4977,REGATA CANELADA,UN,2,"100,02","193,81","93,79","48,39%"
004990,BLUSA,UN,3,"149,70","312,03","162,33","52,02%"
4994,MOLETOM BLAZER,UN,1,"75,90","163,20","87,30","53,49%"
05000,BLUSA,UN,1,"39,90","85,90","46,00","53,55%"
5000,CALÇA MONTARIA,UN,2,"119,00","259,80","140,80","54,19%"
05002,REGATA RENDA SUBLIMADABRANCO P,UN,1,"59,90","123,00","63,10","51,30%"
5002,BERMUDA,UN,4,"119,70","319,59","199,89","62,54%"
5003,THE COM SPIKES,UN,4,"79,36","335,69","256,33","76,35%"
5006,CALÇA VISUAL,UN,3,"209,70","451,99","242,29","53,60%"
5008,CONJUNTO BANGALO,UN,10,"259,80","1.659,66","1.399,86","84,34%"
5009,CASACO MOLETOM,UN,10,"369,70","1.828,20","1.458,50","79,77%"
5010,CASACO MOLETOM,UN,2,"299,80","599,54","299,74","49,99%"
5011,CALÇA VISUAL FEM,UN,9,"674,10","1.387,99","713,89","51,43%"
5012,CALÇA VISUAL CLARA FEM,UN,3,"78,00","407,69","329,69","80,86%"
5013,SHORT VISUAL,UN,5,"194,70","651,61","456,91","70,12%"
5014,SHORT VISUAL,UN,1,"64,90","44,90","-20,00","-44,54%"
5015,CASACO MOLETOM,UN,4,"384,60","577,95","193,35","33,45%"
5016,CALÇA VISUAL FEM,UN,5,"374,50","780,00","405,50","51,98%"
5017,CALÇA MOLETOM,UN,3,"154,80","509,75","354,95","69,63%"
5019,CALÇA CANELADA,UN,10,"630,35","948,30","317,95","33,52%"
5020,CALÇA VISUAL PRETA,UN,11,"699,00","1.563,10","864,10","55,28%"
5022,MOLETOM,UN,2,"0,00","356,55","356,55","100,00%"
5024,PARKA CAPUZ,UN,1,"169,90","339,80","169,90","50,00%"
5025,BOMBER METALASSE,UN,3,"169,80","410,10","240,30","58,59%"
5026,CALÇA VISUAL,UN,6,"139,80","610,80","471,00","77,11%"
5028,CALÇA,UN,8,"253,82","869,58","615,76","70,81%"
5030,BLUSA GATOS E ATOS,UN,3,"43,50","167,80","124,30","74,07%"
5031,BLUSA CANELADA,UN,15,"396,90","1.026,54","629,64","61,33%"
5032,REGATA STYLE ESTAMPADA,UN,2,"71,80","197,85","126,05","63,70%"
5035,CALÇA VISUAL,UN,1,"69,90","156,00","86,10","55,19%"
5036,CALÇA VISUAL,UN,2,"139,80","222,61","82,81","37,19%"
5037,CORTA VENTO BANGALO,UN,3,"179,80","557,91","378,11","67,77%"
5038,BLUSA ALÇA FLAME ESTAMPADO,UN,2,"22,50","44,85","22,35","49,83%"
05038,CALÇA DE ELANCA,UN,1,"39,90","99,90","60,00","60,06%"
5039,CALÇA CANELADA,UN,1,"59,93","123,30","63,37","51,39%"
5040,CALÇA VISUAL,UN,1,"69,90","156,00","86,10","55,19%"
5041,CALÇA VISUAL,UN,6,"349,50","857,50","508,00","59,24%"
5042,CASACO TED,UN,1,"119,93","239,80","119,87","49,98%"
5044,VESTIDO COM ZIPER,UN,3,"0,00","119,68","119,68","100,00%"
5050,CONJUNTO,UN,5,"0,00","731,70","731,70","100,00%"
5051,BLUSINHA REGATA NA,UN,1,"0,00","96,00","96,00","100,00%"
5053,CALÇA,UN,2,"169,80","339,60","169,80","50,00%"
005054,BLUSA VISCO,UN,1,"59,90","52,39","-7,51","-14,33%"
5055,CASACO CASUAL RIBANA,UN,3,"104,70","250,80","146,10","58,25%"
5057,BLUSA CASUAL MALHA,UN,1,"21,90","49,90","28,00","56,11%"
5064,BLUSINHA BASICA DE,UN,2,"0,00","112,50","112,50","100,00%"
5066,BLUSA DECOTE TRANSSADO,UN,1,"23,12","57,90","34,78","60,06%"
5077,CROPPED RIBANA STYLE,UN,1,"29,90","69,00","39,10","56,66%"
5084,BLUSA BOTONE SOBRE LEGING,UN,2,"57,80","138,00","80,20","58,11%"
5087,BLUSA VISCO DETALHES COSTAS,UN,2,"65,80","138,00","72,20","52,31%"
5090,BLUSA BOTONE COM ESTAMPA,UN,1,"23,90","55,90","32,00","57,24%"
5094,BLUSA,UN,3,"80,70","194,80","114,10","58,57%"
05109,BLUSA,UN,2,"39,42","87,80","48,38","55,10%"
5109,BOLSA PEQUENA BEGE,UN,1,"30,00","89,85","59,85","66,61%"
05129,BLUSA,UN,1,"17,91","37,90","19,99","52,74%"
05134,BLUSA,UN,1,"23,31","54,90","31,59","57,54%"
5141,CROPPED RIBANA ZIPER,UN,2,"63,80","76,95","13,15","17,08%"
005141,MONTARIA COURO,UN,1,"69,90","119,88","49,98","41,69%"
05147,BLUSA,UN,1,"26,90","54,15","27,25","50,32%"
5149,REGATA PODRINHA CROPPED,UN,2,"45,80","99,80","54,00","54,10%"
5160,BLUSA COM POMPOM,UN,1,"31,90","64,00","32,10","50,15%"
5165,VESTIDO,UN,1,"64,90","128,70","63,80","49,57%"
05173,T-SHIRT,UN,1,"25,90","53,10","27,20","51,22%"
005190,BLUSA,UN,2,"103,80","211,18","107,38","50,84%"
05193,BLUSA,UN,1,"33,90","70,30","36,40","51,77%"
5206,BLUSA VISCO OMBRO A OMBRO,UN,1,"30,90","60,10","29,20","48,58%"
5207,T-SHIRT WIND COM ESTAMP,UN,1,"19,90","40,00","20,10","50,25%"
5211,BLUSA,UN,3,"77,70","167,70","90,00","53,66%"
05214,BLUSA,UN,2,"47,80","103,80","56,00","53,94%"
5215,T-SHIRT DARK COM ESTAMP,UN,2,"47,80","96,34","48,54","50,38%"
5218,BLUSA VISCO ESTAMP.,UN,2,"65,80","139,80","74,00","52,93%"
5222,T-SHIRT WIND COM BOTÕES,UN,1,"29,90","64,30","34,40","53,49%"
5223,BLUSA,UN,1,"29,90","64,90","35,00","53,92%"
5224,BOMBER CORTA VENTO,UN,1,"69,90","160,25","90,35","56,38%"
5229,BLUSA,UN,3,"68,70","144,70","76,00","52,52%"
5230,BLUSA VISCO COM ESTAMP,UN,1,"28,90","58,56","29,66","50,64%"
5231,T-SHIRT PRIME COM ESTAMP,UN,2,"41,80","89,90","48,10","53,50%"
05240,BLUSA,UN,1,"20,90","40,85","19,95","48,83%"
5243,BLUSA VISCO COM PREGA,UN,1,"33,90","72,90","39,00","53,49%"
05246,BLUSA,UN,1,"35,90","79,90","44,00","55,06%"
05251,BLUSA,UN,1,"25,90","55,00","29,10","52,90%"
5252,CROPPED CANELADO,UN,1,"34,90","74,90","40,00","53,40%"
5256,BLUSA LINHO,UN,1,"28,00","84,00","56,00","66,66%"
5260,CASACO CANELADO,UN,7,"279,30","599,30","320,00","53,39%"
05264,BLUSA,UN,1,"17,90","35,91","18,01","50,15%"
5264,BLUSA VISCO COM PREGAS,UN,2,"59,80","124,30","64,50","51,89%"
5265,BLUSA MALHA PANCAKE,UN,1,"33,90","72,90","39,00","53,49%"
05268,BLUSA,UN,1,"21,90","46,13","24,23","52,52%"
5271,BOMBER SPORT CORTA VENTO,UN,1,"79,90","171,75","91,85","53,47%"
005272,BLUSA VISCO,UN,1,"59,90","128,70","68,80","53,45%"
5277,BLUSA MOLETOM COM CAPUZ,UN,1,"49,90","107,40","57,50","53,53%"
5285,CALÇA MOLETOM COM VIVO,UN,2,"95,80","199,80","104,00","52,05%"
5286,BLUSA,UN,1,"25,90","57,90","32,00","55,26%"
5292,SHORTS LINHO BELIZE,UN,1,"64,00","69,90","5,90","8,44%"
5297,BLUSA BOTONE,UN,1,"23,90","48,40","24,50","50,61%"
05300,BLUSA,UN,1,"23,90","49,90","26,00","52,10%"
5304,T-SHIRT,UN,1,"24,90","50,00","25,10","50,20%"
05309,BLUSA,UN,1,"33,90","75,00","41,10","54,80%"
5311,T-SHIRT,UN,1,"28,90","62,90","34,00","54,05%"
005314,BLUSA CETIM,UN,1,"59,90","49,90","-10,00","-20,04%"
5315,T-SHIRT,UN,1,"22,90","49,90","27,00","54,10%"
05316,BLUSA,UN,2,"75,81","163,90","88,09","53,74%"
5318,T-SHIRT DARK,UN,1,"24,90","55,90","31,00","55,45%"
5319,CROPPED CANELADO,UN,2,"51,80","107,93","56,13","52,00%"
5326,REGATA ESTAMPADA SOCIAL,UN,2,"60,00","114,85","54,85","47,75%"
05327,BLUSA,UN,1,"23,31","50,00","26,69","53,38%"
5336,BLUSA VISCO COM PREGAS,UN,1,"28,90","37,74","8,84","23,42%"
5339,T-SHIRT WIND NEON,UN,2,"51,80","112,70","60,90","54,03%"
5347,SHORTS TWILL,UN,2,"85,80","162,80","77,00","47,29%"
05352,SHORT,UN,1,"25,90","47,90","22,00","45,92%"
5355,BLUSA NEW CANELADO COM BOTÃO,UN,2,"61,80","126,80","65,00","51,26%"
5368,KIMONO,UN,1,"0,00","84,90","84,90","100,00%"
5377,CALÇA MOLETOM BASIC,UN,4,"231,60","479,60","248,00","51,70%"
5386,BLUSA,UN,2,"75,42","154,80","79,38","51,27%"
5390,CONJUNTO,UN,1,"25,00","53,90","28,90","53,61%"
5399,T-SHIRT ESTONADA,UN,1,"32,31","69,90","37,59","53,77%"
5406,BLUSA CANELADA PRINCESA,UN,1,"35,01","69,90","34,89","49,91%"
5408,MUSCLE BLUSA,UN,2,"55,80","121,90","66,10","54,22%"
5411,BOLSA CAQUI LATERAL,UN,1,"35,00","128,70","93,70","72,80%"
5423,VESTIDO MOLETOM SPORT,UN,1,"44,91","94,00","49,09","52,22%"
5428,BLUSA COM COLAR,UN,1,"0,00","111,00","111,00","100,00%"
5430,BLUSA,UN,1,"28,40","59,90","31,50","52,58%"
5464,BLUSA,UN,1,"25,00","49,90","24,90","49,89%"
5475,BLUSA BASICA,UN,2,"56,80","116,80","60,00","51,36%"
5476,BLUSA MALHA BUFANTE,UN,3,"82,35","129,70","47,35","36,50%"
005490,BLUSA,UN,1,"54,90","117,90","63,00","53,43%"
005502,BOLSA PRETA,UN,1,"45,00","128,70","83,70","65,03%"
5509,SHORT XADREZ AZUL MARINHO COM BEGE,UN,1,"45,00","94,50","49,50","52,38%"
5513,MOLETOM PRETO COM MANGA RENDA E TOUCA,UN,1,"35,00","128,70","93,70","72,80%"
5525,CASACO,UN,7,"150,00","1.056,19","906,19","85,79%"
5538,BLUSA COM CONJUNTO CACHICOL,UN,2,"0,00","236,70","236,70","100,00%"
5539,CROPPED SOCIAL LISTRA ESTAMP.,UN,1,"35,00","94,90","59,90","63,11%"
5540,BLUSA REGATA AZUL BEBÊ ESTAMP. AMARRADA,UN,1,"35,00","99,90","64,90","64,96%"
5555,BERMUDAS MASCULINAS,UN,3,"96,99","144,99","48,00","33,10%"
5563,CALÇA FEMININA MODELADORA,UN,1,"89,90","198,00","108,10","54,59%"
5615,CALÇA VICIO FATAL,UN,1,"89,90","198,00","108,10","54,59%"
5647,TOP CANELADO,UN,3,"89,70","175,90","86,20","49,00%"
5661,CROPPED TRANPASSADO,UN,4,"99,65","193,61","93,96","48,53%"
5664,TOP CANELADO,UN,2,"59,80","113,81","54,01","47,45%"
5713,SHORTS LIGHT,UN,4,"171,60","356,90","185,30","51,91%"
5733,BLUSA ESTAMPA,UN,3,"149,70","273,80","124,10","45,32%"
5734,BLUSA ESTAMPA,UN,1,"49,90","99,90","50,00","50,05%"
5781,CARTEIRA,UN,1,"0,00","39,90","39,90","100,00%"
5791,CAMISA,UN,1,"0,00","128,85","128,85","100,00%"
5793,CASACO TEDDY,UN,1,"119,90","250,00","130,10","52,04%"
5797,CASACO JABU,UN,2,"0,00","191,05","191,05","100,00%"
5806,BLUSA CROPPED DE AMARRAR COM BRILHO,UN,1,"30,00","89,90","59,90","66,62%"
5807,CALÇA WIDE CANELADA,UN,1,"69,90","140,00","70,10","50,07%"
5813,CALÇA WINTER BASIC,UN,1,"79,90","159,90","80,00","50,03%"
5841,BLUSA CIGANA,UN,1,"69,90","142,00","72,10","50,77%"
5865,BLUSA STYLE GOTA,UN,7,"279,30","589,01","309,71","52,58%"
5868,BLUSA STYLE,UN,2,"79,80","179,80","100,00","55,61%"
5870,BLUSA VERDE,UN,1,"49,90","99,90","50,00","50,05%"
5897,CROPPED CANELADO FENDAS,UN,1,"36,90","79,90","43,00","53,81%"
5903,CROPPED,UN,2,"0,00","134,20","134,20","100,00%"
5904,CROPPED CANELADO,UN,3,"98,70","209,70","111,00","52,93%"
5909,CALÇA PRETA,UN,1,"89,90","198,00","108,10","54,59%"
