Código,Nome,Unidade,Quantidade,Total custo,Total venda,Valor lucro,%Lucro
1182,SAIA LONGA DIVINA,UN,1,"0,00","116,00","116,00","100,00%"
1186,CIGANINHA COM PEROLA,UN,3,"104,97","308,90","203,93","66,01%"
1198,BLUSA PE,UN,1,"42,00","126,00","84,00","66,66%"
001199,BLUSA,UN,1,"0,00","49,95","49,95","100,00%"
1201,BLUSA,UN,2,"0,00","152,00","152,00","100,00%"
1203,BLUSA LISTRADA TELEFONE,UN,2,"0,00","107,00","107,00","100,00%"
1207,BASICA IF YOU,UN,4,"0,00","124,85","124,85","100,00%"
1212,BLUSA MA,UN,2,"42,00","145,90","103,90","71,21%"
1214,BLUSA RENDA NAS COSTAS,UN,4,"0,00","203,00","203,00","100,00%"
1219,SAIA ROSE MIDI BOTÕES,UN,1,"55,00","165,00","110,00","66,66%"
01224,CMISA MANGA FLARE VERMELHA XADREZ,UN,1,"40,00","120,00","80,00","66,66%"
1224,SHORT XADREZ SOCIAL,UN,1,"40,00","120,00","80,00","66,66%"
01225,SHORT SOCIAL CORINO OFF,UN,1,"45,00","135,00","90,00","66,66%"
1226,SAIA BANDAGEM,UN,2,"0,00","131,10","131,10","100,00%"
1230,VESTE LEGGING COM PAETE,UN,1,"0,00","85,80","85,80","100,00%"
1232,BLUSA,UN,1,"55,00","137,40","82,40","59,97%"
1233,VESTIDO TECIDO CHIQUE TOMARA-CAIA,UN,1,"0,00","89,91","89,91","100,00%"
1234,BLUSA GOLA ESTAMP RENDA MANGA,UN,2,"35,70","207,40","171,70","82,78%"
1236,BLUSA CAVEIRINHAS,UN,3,"0,00","100,25","100,25","100,00%"
1240,SHORT ROSE E TURQUESA,UN,1,"45,90","137,70","91,80","66,66%"
1243,BODY TOMARA CAIA SOLTINHO,UN,2,"0,00","186,00","186,00","100,00%"
1247,BLUSA BONECA CETIM COM ROSA,UN,1,"0,00","37,80","37,80","100,00%"
1252,JAQUETA FEMININA COM ELASTANO FORRADA COM PELOS,UN,2,"134,70","320,40","185,70","57,95%"
1253,BLUSA MA,UN,2,"99,80","224,77","124,97","55,59%"
1256,BATA ESTAMPADA PRETA E ROSE FLORAL,UN,4,"80,00","350,84","270,84","77,19%"
1258,BLUSA C/ CACHICOL,UN,1,"0,00","99,80","99,80","100,00%"
1259,MUSCLE,UN,1,"17,99","39,90","21,91","54,91%"
